symbol,收盘价,涨跌幅%,成交量,量比状态,RSI(14),MACD,MACD信号,MACD柱,MA5,MA20,MA50,MA200,布林上轨,布林中轨,布林下轨,ATR,PE Ratio,杠杆风险,强平价格_2x,强平价格_3x,强平价格_5x
MU,874.6599731445312,18.357235878826963,59596897,持平,50.0,0.0,0.0,0.0,851.0680053710937,919.3070037841796,962.2649609375,,0.0,0.0,0.0,0.0,19.757397,中,624.76,N/A,N/A
AAOI,90.11000061035156,17.76006869247108,10417773,持平,50.0,0.0,0.0,0.0,90.54799957275391,108.09599914550782,144.77700012207032,,0.0,0.0,0.0,0.0,18.883068,中,64.36,N/A,N/A
GOOGL,333.6600036621094,-0.9058204004545144,29924768,持平,50.0,0.0,0.0,0.0,330.07599487304685,348.2429992675781,359.30950134277344,,0.0,0.0,0.0,0.0,16.894176,中,238.33,N/A,N/A
MSFT,451.1000061035156,15.506733300956496,109342280,放量,50.0,0.0,0.0,0.0,401.1580078125,393.15449981689454,398.42275573730467,,0.0,0.0,0.0,0.0,21.73976,中,322.21,N/A,N/A
AMZN,235.5,3.9047016729934705,78755052,放量,50.0,0.0,0.0,0.0,231.3019989013672,242.4125,246.38420043945314,,0.0,0.0,0.0,0.0,28.169857,中,168.21,N/A,N/A
MRVL,183.3000030517578,12.1787086282759,28995831,持平,50.0,0.0,0.0,0.0,180.91399841308595,209.33719940185546,239.18393127441405,,0.0,0.0,0.0,0.0,62.98969,中,130.93,N/A,N/A
LITE,693.239990234375,15.089236877618198,5478770,持平,50.0,0.0,0.0,0.0,684.493994140625,745.813998413086,829.6706005859374,,0.0,0.0,0.0,0.0,106.32515,中,495.17,N/A,N/A
SNDK,1279.9599609375,25.993950376650517,23236972,持平,50.0,0.0,0.0,0.0,1221.347998046875,1535.893994140625,1712.5847973632813,,0.0,0.0,0.0,0.0,34.724903,中,914.26,N/A,N/A
NVDA,195.0399932861328,2.647228527295132,123110210,持平,50.0,0.0,0.0,0.0,197.08199462890624,203.00049743652343,206.51586730957033,,0.0,0.0,0.0,0.0,29.067062,中,139.31,N/A,N/A
ORCL,127.55999755859375,8.340410967381196,36882152,持平,50.0,0.0,0.0,0.0,120.02999877929688,129.27836647033692,165.50585983276366,,0.0,0.0,0.0,0.0,21.87993,中,91.11,N/A,N/A
SPCX,112.19999694824219,-0.3109783154378676,54835632,持平,50.0,0.0,0.0,0.0,113.94600067138671,131.49300079345704,,,0.0,0.0,0.0,0.0,124.25249,中,80.14,N/A,N/A
TSLA,308.8500061035156,3.529766197629752,36553979,持平,50.0,0.0,0.0,0.0,307.37200317382815,368.0425003051758,392.61859924316406,,0.0,0.0,0.0,0.0,278.24326,中,220.61,N/A,N/A
