symbol,收盘价,涨跌幅,成交量,量比状态,RSI_14,MACD,MACD信号,MACD柱,前日MACD柱,MA5,MA20,MA50,MA200,布林上轨,布林中轨,布林下轨,ATR,PE_Ratio,资金集中价位,集中度,抄底评分,抄底依据,反弹反转信号,反弹反转置信度,反弹反转描述,Volume_PCR,OI_PCR,杠杆风险等级
MU,881.469970703125,-1.3121543799467337,35611000,持平,47.70510401530893,-29.76377617001799,-31.273793814816045,1.5100176447980544,-0.807846444334487,863.9719970703125,893.3510040283203,971.8797692871094,0.0,1020.6590767809208,893.3510040283203,766.0429312757198,85.17514506538522,19.897743,938.39,13.47,0,[],无,低,MACD金叉 | 站上MA5（置信度35分）,,,高
AAOI,124.22000122070312,-3.375852847160009,15073800,持平,52.67040277946188,-5.589379515933686,-11.132488320376755,5.543108804443069,5.199835738715606,117.78800048828126,107.77449913024903,139.1056002807617,0.0,136.179785637637,107.77449913024903,79.36921262286106,15.666815889444283,26.031015,174.55,16.33,0,[],反弹,低,MACD金叉 | 站上短期均线（置信度45分）,,,高
GOOGL,357.75,-1.2912818393503729,25186500,缩量,52.22747589098201,0.6506736870010741,-3.2245204854072167,3.875194172408291,4.462604733066267,365.49400024414064,348.90599822998047,357.16041564941406,0.0,381.93443166404853,348.90599822998047,315.8775647959124,13.456716136415533,18.178354,359.3,11.54,45,"['恐慌盘衰竭（缩量企稳）', '接近资金集中区（359.30，主力成本支撑）']",无,低,MACD金叉（置信度25分）,,,高
MSFT,499.8599853515625,2.5437972580006285,36397900,缩量,78.32383834350718,25.48713617372539,13.482720918207773,12.004415255517616,11.960949579857779,486.4999938964844,418.09100036621095,405.2655975341797,0.0,502.69692690844903,418.09100036621095,333.48507382397287,16.53756892407098,27.181076,391.1,15.46,15,['恐慌盘衰竭（缩量企稳）'],反转,高,MACD金叉 | RSI进入强势区 | 站上短期均线 | 缩量企稳（置信度65分）,,,高
AMZN,272.260009765625,-0.14303471101761267,30627000,缩量,63.190907681490266,6.718775930436635,2.3039116943876117,4.414864236049024,4.677174632199648,275.58599853515625,250.13550033569337,247.45440002441407,0.0,283.4171205961932,250.13550033569337,216.85388007519356,9.578665574083958,21.921095,245.59,13.34,15,['恐慌盘衰竭（缩量企稳）'],无,低,MACD金叉 | RSI进入强势区（置信度35分）,,,高
LITE,838.0599975585938,1.4281204044131226,4115800,持平,55.17237917553444,-5.5542750070136435,-22.535390696252723,16.98111568923908,14.305710368857184,801.5239990234375,763.6274993896484,818.2155993652344,0.0,896.9725348689308,763.6274993896484,630.282463910366,78.69363427432066,144.99307,877.07,14.56,0,[],反弹,中,MACD金叉 | RSI进入强势区 | 站上短期均线（置信度55分）,,,高
SNDK,1258.5799560546875,-6.806371265850611,19067200,持平,42.877638741172376,-129.06321131498862,-131.5964550793654,2.5332437643767776,1.5455556350533755,1307.9119873046875,1428.242987060547,1695.64939453125,0.0,1866.9030343134687,1428.242987060547,989.5829398076254,188.55998440102056,46.08495,1371.14,13.85,0,[],反弹,低,MACD金叉 | RSI从超卖区回升（置信度45分）,,,高
MRVL,210.5399932861328,-0.2274717925360068,16751800,缩量,49.55740463092328,-9.737384029839063,-13.67442621409406,3.937042184254997,3.2179157085524697,204.297998046875,200.41449966430665,240.45145782470703,0.0,234.71603730171302,200.41449966430665,166.11296202690028,19.39523465851051,72.35051,273.94,15.51,15,['恐慌盘衰竭（缩量企稳）'],反弹,中,MACD金叉 | 站上短期均线 | 缩量企稳（置信度55分）,,,高
ORCL,143.47000122070312,-0.6371619730135332,23016900,缩量,53.94719672989239,-3.8145489727164374,-8.6473208651155,4.832771892399062,4.833334019651964,141.06400146484376,129.15050010681153,160.7871516418457,0.0,147.69014173386492,129.15050010681153,110.61085847975815,7.804399640515209,24.736206,144.85,16.71,45,"['恐慌盘衰竭（缩量企稳）', '接近资金集中区（144.85，主力成本支撑）']",反弹,中,MACD金叉 | 站上短期均线 | 缩量企稳（置信度55分）,,,高
SPCX,114.91999816894531,6.142053876478782,254155500,放量,41.26881293334711,-10.041061577985715,-11.178283724401624,1.1372221464159082,0.8678399114517923,114.28399963378907,121.44650039672851,0.0,0.0,142.35853037177824,121.44650039672851,100.53447042167879,11.096732516522339,62.023033,162.21,25.27,0,[],反转,高,MACD金叉 | RSI从超卖区回升 | 站上MA5 | 放量确认（置信度70分）,,,高
NVDA,218.99000549316406,-0.10491548501886502,113686000,持平,61.29248470134997,1.7071297643593937,-0.3502532008187749,2.0573829651781685,1.5594130321046142,211.50800170898438,206.16699829101563,205.81653350830078,0.0,221.1718441100596,206.16699829101563,191.16215247197167,7.806504126186766,33.535988,207.22,11.34,0,[],反弹,中,MACD金叉 | RSI进入强势区 | 站上短期均线（置信度55分）,,,高
SKHY,143.52999877929688,-4.965900854544731,21904300,缩量,44.35393269343241,0.0,0.0,0.0,0.0,147.0779998779297,154.6945011138916,0.0,0.0,185.65537663568784,154.6945011138916,123.73362559209534,17.088415804553538,20.44587,154.55,17.2,15,['恐慌盘衰竭（缩量企稳）'],无,低,RSI从超卖区回升（置信度20分）,,,高
TSLA,319.5299987792969,-0.6282037289245531,25965800,持平,36.569608956216854,-21.80325464538629,-21.63996528452206,-0.16328936086422985,-1.0910375056816228,320.343994140625,347.29199981689453,382.67659851074217,0.0,422.6508135714082,347.29199981689453,271.93318606238086,14.876898820436418,293.1468,402.69,20.1,15,['RSI偏低'],无,低,MACD绿柱收敛 | RSI从超卖区回升（置信度35分）,,,高
EUV,25.450000762939453,1.3944238093642305,771600,持平,50.81763466804118,-0.7063894534279989,-1.000204481167829,0.29381502773983015,0.21227066233696856,24.720000076293946,24.60000009536743,26.8753999710083,0.0,27.648370327288617,24.60000009536743,21.551629863446244,1.6268113899039502,53.24436,27.16,18.82,0,[],反弹,低,MACD金叉 | 站上短期均线（置信度45分）,,,高
RKLB,75.66999816894531,1.1360578422722094,19420700,持平,48.82362205111543,-5.326632168558916,-7.8391799117942105,2.5125477432352943,2.2286883714504064,72.06999969482422,70.03599987030029,91.89480003356934,0.0,81.50824059759721,70.03599987030029,58.56375914300337,6.650528559551809,9084.034,106.92,15.4,0,[],反弹,低,MACD金叉 | 站上短期均线（置信度45分）,,,高
PLTR,155.9199981689453,-1.5842925095455322,41374100,缩量,66.54680027433042,4.958349075769036,1.2815557047335433,3.676793371035492,3.248091445493248,145.1439987182617,132.77700004577636,131.81059951782225,0.0,156.57016553563935,132.77700004577636,108.98383455591339,8.367538215512628,135.58261,131.75,18.59,15,['恐慌盘衰竭（缩量企稳）'],反转,高,MACD金叉 | RSI进入强势区 | 站上短期均线 | 缩量企稳（置信度65分）,,,高
GEV,1000.2999877929688,-1.7348455537050425,1759900,持平,47.26758626487206,-14.82191885795055,-14.782366950883773,-0.03955190706677669,-0.7472468635318581,1006.7680053710938,1019.7265014648438,1022.0011462402343,0.0,1112.11159434003,1019.7265014648438,927.3414085896574,58.65639536421107,29.154764,1051.28,11.24,0,[],无,低,MACD绿柱收敛（置信度15分）,,,高
NVO,45.970001220703125,3.233780554415249,13104700,缩量,42.27464948686534,-0.42270305506708894,0.283901534486148,-0.7066045895532369,-0.7556573251723329,45.79000015258789,48.8545000076294,46.90079978942871,0.0,53.065160577515016,48.8545000076294,44.64383943774378,1.7341649703024926,11.050482,44.61,14.36,15,['恐慌盘衰竭（缩量企稳）'],反弹,中,MACD绿柱收敛 | RSI从超卖区回升 | 站上MA5 | 缩量企稳（置信度55分）,,,高
UNH,403.9700012207031,-2.127195343257874,4709000,持平,41.35173100078622,-1.3769740773534522,1.5613953297060548,-2.9383694070595068,-2.572263358464509,410.8059936523438,421.14499816894534,411.7528192138672,0.0,436.4354458749497,421.14499816894534,405.85455046294095,12.246612607820298,31.05073,423.78,11.55,25,['触及/逼近布林下轨'],无,低,RSI从超卖区回升 | 触及布林下轨（置信度30分）,,,高
FUTU,104.5199966430664,-5.17147932726212,1132400,持平,52.80473344505674,1.8551990933386122,0.9413779257229082,0.913821167615704,1.2907464534295146,107.18000030517578,101.82299919128418,99.28039978027344,0.0,110.39990391541838,101.82299919128418,93.24609446714999,4.518017375440215,12.181818,88.39,28.27,0,[],无,低,MACD金叉（置信度25分）,,,高
JNJ,256.9800109863281,-0.23680475182831207,6926200,持平,53.004153300224,2.4982683430145016,3.5725870553910815,-1.0743187123765798,-1.0990458930159992,256.052001953125,256.5325019836426,247.16820068359374,0.0,267.3701643778809,256.5325019836426,245.6948395894043,6.277182100742971,29.846693,229.92,13.32,0,[],无,低,MACD绿柱收敛 | 站上MA5（置信度25分）,,,高
NFLX,73.69000244140625,-0.6873241614708979,28815600,持平,50.99084242505004,-0.6025892406499338,-1.3034881020571294,0.7008988614071956,0.7293298304633518,73.3,71.87899932861328,75.93339920043945,0.0,76.33956503852077,71.87899932861328,67.41843361870578,2.425063983604403,23.31962,73.66,23.62,30,['接近资金集中区（73.66，主力成本支撑）'],反弹,低,MACD金叉 | 站上短期均线（置信度45分）,,,高
INTU,321.9100036621094,-1.838750605112369,2955700,持平,60.109782753216834,10.005888501366826,6.618916931324005,3.386971570042821,4.136684669621465,321.5820068359375,301.61200256347655,290.79132598876953,0.0,336.7652946504205,301.61200256347655,266.4587104765326,14.962198599774485,19.628658,307.1,17.6,0,[],反弹,中,MACD金叉 | RSI进入强势区 | 站上短期均线（置信度55分）,,,高
